Country Name,Country Code,Year,Carbon dioxide (CO2) emissions excluding LULUCF per capita (t CO2e/capita),Energy use (kg of oil equivalent per capita),GDP growth (annual %),"GDP per capita, PPP (constant 2021 international $)",Gini index,Individuals using the Internet (% of population),"Inflation, consumer prices (annual %)","Life expectancy at birth, total (years)","Mortality rate, infant (per 1,000 live births)","Population, total",Renewable energy consumption (% of total final energy consumption),"School enrollment, secondary (% gross)",Trade (% of GDP),"Unemployment, total (% of total labor force) (national estimate)",Urban population (% of total population)
Afghanistan,AFG,2022,0.278420956418618,,-6.24017199240269,1981.71016810561,,17.1917,13.7121023720065,65.617,52.0,40578842.0,20.0,,72.8854696086536,,25.3939250580909
Africa Eastern and Southern,AFE,2022,0.858131540848484,562.060699360646,3.72271692296214,4106.50190693219,,26.8,10.8834775726018,64.4870195456608,39.6730585330406,731821393.0,,45.2816200256348,57.1527762711517,,37.3605781096471
Africa Western and Central,AFW,2022,0.521524499284441,351.913061564233,4.47279468511532,5806.17289006101,,37.5,7.94925143524016,57.9878133945189,56.4303202171376,497387180.0,,45.6372985839844,,3.34515973945368,51.6816941134779
Albania,ALB,2022,1.84525761573088,884.57221529163,4.8268006234359,18448.5176769995,,82.6137,6.7252027153006,78.769,8.3,2451636.0,,97.3224714726407,84.6980435944865,10.785,57.8643477747383
Algeria,DZA,2022,4.16005852930563,1499.50999958517,3.60000000094915,14782.2002970247,,74.8319,9.26551551551553,76.129,20.0,45477389.0,,104.550270080566,51.1900893683897,,74.1795862354514
American Samoa,ASM,2022,0.0020685945968309,,1.73501577287065,,,,,72.752,,48342.0,0.4,,124.684270952928,,81.794797704649
Andorra,AND,2022,,,9.56461225648184,63913.3835079105,,94.4855,,84.016,2.6,79705.0,18.7,98.5098724365234,,,88.7548766267286
Angola,AGO,2022,0.748810952279567,423.122517600564,4.21600258475137,8950.14259255142,,42.0719,21.3552901320822,64.246,39.6,35635029.0,,,55.2547732713835,14.094,69.0506188977513
Antigua and Barbuda,ATG,2022,3.69452822059457,,9.10780623385958,27941.7851474762,,77.1648,7.53107834634288,77.483,7.5,92840.0,0.9,107.799908772997,117.703527768353,,24.5114484000414
Arab World,ARB,2022,4.51655911861293,1780.22285816424,7.00775934349392,16905.4902749583,,,5.17980847967061,71.8760955992222,27.7678438480466,471352066.0,,69.4561386108398,86.7932393179498,,59.3339325148117
Argentina,ARG,2022,4.2953116708492,1808.76021335553,6.02074537534855,27825.0273492567,40.7,88.3754,72.430757531824,75.806,8.3,45407904.0,,114.14811706543,31.5801792606256,6.805,92.112838186126
Armenia,ARM,2022,2.61828101845615,1347.59055747413,12.5999999997766,17886.1783877168,27.9,77.0277,8.64091108973855,74.7658536585366,9.3,2969200.0,,91.7106609922965,103.878629213508,8.262,65.5624462874485
Aruba,ABW,2022,4.99021526418787,,10.6364309604414,38979.8358245412,,,,76.226,,107310.0,8.8,131.802169799805,160.634546418015,,61.8811657924257
Australia,AUS,2022,14.530502863688,4942.16372202842,4.25304559238732,60029.1329190733,,97.0424,6.59409671341846,83.2,3.2,26018721.0,,133.277267456055,45.6946418805752,3.728,87.3343268253813
Austria,AUT,2022,6.92858132698714,3486.72943293763,5.33096379400371,65694.5513287254,30.9,93.6141,8.5468699318845,81.2951219512195,2.7,9041851.0,,101.458000183105,123.579578652902,4.992,68.998085127906
Azerbaijan,AZE,2022,3.91289240245969,1714.03725982832,4.71468033247649,21051.2442291612,,88.0,13.8522590144267,74.125,14.1,10141756.0,,90.9530364179442,86.9822732541779,5.65,58.4382815854684
"Bahamas, The",BHS,2022,3.53551107063979,,10.8779009410268,34342.9285316569,,94.7326,5.60540633583044,74.491,11.6,397538.0,1.1,,75.9829601059237,,81.3200717047725
Bahrain,BHR,2022,25.4678810750754,10701.7927575092,6.18016125475185,57572.997981018,,100.0,3.62574104304482,80.992,7.0,1524693.0,,103.393222951005,167.141241152535,,100.0
Bangladesh,BGD,2022,0.713556533909868,297.118356342706,7.09982877575158,7888.16389098304,30.9,41.6165,7.69695437176898,74.265,24.4,169384897.0,,67.0384586440383,33.7799672705735,4.593,31.673734726234
Barbados,BRB,2022,2.4401561359885,,17.2264626793379,20716.2851304966,,79.4451,,75.676,9.6,282318.0,5.5,104.222328186035,,7.261,59.3538514107686
Belarus,BLR,2022,6.05700801391753,2862.48703453706,-4.65839591328999,26537.5083081674,,89.5073,15.209675274081,74.1033658536585,2.0,9228071.0,,99.0602032881737,120.024207576094,3.574,78.4732787892908
Belgium,BEL,2022,7.6776616173853,4368.44562567427,3.9562379757933,62561.7810453236,26.4,94.0078,9.597511728725,81.7487804878049,3.1,11680210.0,,142.918075561523,191.179031303786,5.57,87.489200269855
Belize,BLZ,2022,0.88023578897185,,9.25051329530994,12565.3645829576,,71.8096,6.27689319447544,72.19,10.9,402733.0,30.8,87.4381668552162,107.840250086037,,42.1373251262137
Benin,BEN,2022,0.513056396449261,375.820983649337,6.25294705373625,3588.32519938147,,30.0134,1.35077863583527,60.475,47.7,13759501.0,,43.5606498718262,44.3815928877424,1.685,50.9627000010887
Bermuda,BMU,2022,3.97689539606789,,6.47622571186707,98145.1689383889,,,,82.062,,64749.0,0.9,,75.1972250263227,,100.0
Bhutan,BTN,2022,1.94285158160822,,5.21386783786224,14061.3120274588,28.5,86.2903,5.6391667139637,72.754,19.1,780914.0,82.5,89.9829129407455,85.5712165226139,5.947,40.9365143617581
Bolivia,BOL,2022,1.93607699297368,798.293220052314,3.74741781241461,11487.7148799194,41.2,67.3612,1.74632872945969,67.434,20.7,12077154.0,,90.3729338176816,57.5249335789631,3.452,70.6352598708131
Bosnia and Herzegovina,BIH,2022,6.98907452004835,2270.72637629896,4.22681333390325,18362.241671965,,78.8455,14.0208440826771,76.777,5.5,3204802.0,,87.0373992919922,110.205284377387,12.657,51.0215287060993
Botswana,BWA,2022,2.80246010889007,1165.14968696121,5.48601706446772,18647.3734588832,,80.3696,11.665567478802,68.749,39.2,2439892.0,,,85.6117077543432,23.615,66.5889787170477
Brazil,BRA,2022,2.27889577215227,1432.72741132919,3.01669435408112,18554.0461828519,52.0,80.5278,9.28010608956873,74.872,12.6,210306415.0,,106.031188964844,38.8160659764321,9.231,87.349556243881
British Virgin Islands,VGB,2022,2.30694955505102,,,,,,,77.177,12.0,38319.0,1.3,72.2840270996094,,,54.795911692548
Brunei Darussalam,BRN,2022,20.9436282583394,9537.0515607056,-1.62833154515108,76357.829114996,,98.9704,3.68225030604216,72.917,8.3,455370.0,,89.8513650597627,146.973965879597,5.191,74.7772642014221
Bulgaria,BGR,2022,7.64769654654833,2968.65663426552,4.0838640915123,30860.8767083739,38.2,79.1269,15.3252589264366,74.1609756097561,5.1,6465097.0,,96.6720733642578,138.844877241238,4.148,73.4799164005224
Burkina Faso,BFA,2022,0.288261986140856,312.929085804227,1.62673258211919,2469.19956941259,,14.6238,14.2902354303358,60.7,46.1,22509038.0,71.4,33.6212866168282,67.5202901331655,1.927,27.2791369742712
Burundi,BDI,2022,0.0698215770067585,,2.31770122223331,1031.25412243175,,11.0009,18.8008786664945,62.882,32.4,13321097.0,83.0,,,,22.3202446002597
Cabo Verde,CPV,2022,1.3085363671521,,15.843675684642,8850.1066918812,,72.7601,7.93092925430087,75.907,11.5,519741.0,21.8,96.4315940376876,96.9941368513357,,75.033738060849
Cambodia,KHM,2022,1.06878240808886,501.644136152087,5.12990110773977,6458.3681488084,,59.6606,5.34370264895437,70.528,21.1,17201724.0,,55.1346812645406,145.873632761406,,40.374616187368
Cameroon,CMR,2022,0.377591519866032,384.104863153688,3.7367840056412,4843.65038202917,,41.775,6.24767713343861,62.443,42.5,27632771.0,,45.6066724321371,41.2866025594679,,54.8458745688318
Canada,CAN,2022,14.7892997763968,7578.02093601237,4.18903628100851,58321.0611834624,,94.0,6.80280115341613,81.2453658536585,4.5,38935934.0,,107.479377746582,67.3176215563989,5.279,82.3500897353968
Caribbean small states,CSS,2022,8.59213618807687,,14.8851030062619,27046.7067687718,,,5.82838638517959,72.8322921090607,17.3249795510315,4497310.0,,84.883918762207,,,50.1314448681558
Cayman Islands,CYM,2022,5.00342221787655,,5.77566708028824,76818.8004032916,,,,79.984,,71591.0,0.0,85.6012268066406,,,100.0
Central African Republic,CAF,2022,0.0632596180609838,,0.453901876447787,1136.80171107045,,,5.58316735183247,18.818,189.1,5098039.0,90.9,,45.23357000162,,43.2751967457285
Central Europe and the Baltics,CEB,2022,6.77183501445676,2683.1570949953,4.04227221314891,41296.2030890882,,,14.6081439492433,76.6522987292583,3.92088972010921,100071871.0,,100.121192932129,139.83650926868,3.96540582731722,61.5935240282645
Chad,TCD,2022,0.155239823582539,198.544774520873,4.12969897676332,2449.48251052484,37.4,12.4865,5.78802687843616,54.528,60.3,18455316.0,70.0,,47.9883784319429,,25.7635558629694
Channel Islands,CHI,2022,,,5.34196140375869,,,,,81.0,,167215.0,,,,,32.7920439098264
Chile,CHL,2022,4.62474983424569,2124.6984823137,2.15399356192458,29569.4775527937,43.0,93.5377,11.643866711056,79.176,5.9,19553036.0,,106.068328857422,75.2016177425303,8.331,88.6395352768685
China,CHN,2022,8.86482511020235,2676.48200976111,3.1341888719577,21499.3822834427,36.0,75.6113,1.97357555739051,78.202,4.8,1412175000.0,,,37.440719876366,,65.2176361083984
Colombia,COL,2022,1.70753982802254,851.232776568033,7.32827729427979,18458.7209460704,54.8,72.7964,10.1772313546166,76.508,11.3,51737944.0,,101.573776245117,48.2826551123359,10.541,78.0464633137335
